127.0.0.1 - - [20/May/2020:18:38:16 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 6
127.0.0.1 - - [20/May/2020:18:38:16 +0530] "GET /AwsCloudability/pages/index.jsp HTTP/1.1" 500 2454
127.0.0.1 - - [20/May/2020:18:38:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [20/May/2020:18:38:19 +0530] "GET /AwsCloudability/theme/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 153182
127.0.0.1 - - [20/May/2020:18:41:16 +0530] "GET /AwsCloudability/pages/login.jsp HTTP/1.1" 200 4949
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 153182
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/vendor/chart.js/Chart.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/js/grasp_mobile_progress_circle-1.0.0.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/vendor/jquery.cookie/jquery.cookie.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/vendor/popper.js/umd/popper.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/js/front.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/js/charts-home.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/vendor/jquery-validation/jquery.validate.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.css HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/css/style.default.css HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/css/fontastic.css HTTP/1.1" 200 2226
127.0.0.1 - - [20/May/2020:18:41:17 +0530] "GET /AwsCloudability/theme/css/grasp_mobile_progress_circle-1.0.0.min.css HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:41:19 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 6
127.0.0.1 - - [20/May/2020:18:41:19 +0530] "GET /AwsCloudability/pages/index.jsp HTTP/1.1" 500 2454
127.0.0.1 - - [20/May/2020:18:41:21 +0530] "GET /AwsCloudability/pages/index.jsp HTTP/1.1" 500 2454
127.0.0.1 - - [20/May/2020:18:41:31 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 7
127.0.0.1 - - [20/May/2020:18:43:09 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 6
127.0.0.1 - - [20/May/2020:18:43:09 +0530] "GET /AwsCloudability/pages/index.jsp HTTP/1.1" 500 2454
127.0.0.1 - - [20/May/2020:18:43:16 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 6
127.0.0.1 - - [20/May/2020:18:43:16 +0530] "GET /AwsCloudability/pages/index.jsp HTTP/1.1" 500 2454
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/pages/login.jsp HTTP/1.1" 200 4949
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/css/fontastic.css HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/css/grasp_mobile_progress_circle-1.0.0.min.css HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/css/style.default.css HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/css/custom.css HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.css HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/vendor/popper.js/umd/popper.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/js/grasp_mobile_progress_circle-1.0.0.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/vendor/jquery.cookie/jquery.cookie.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/vendor/jquery-validation/jquery.validate.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/js/front.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/js/charts-home.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:24 +0530] "GET /AwsCloudability/theme/vendor/chart.js/Chart.min.js HTTP/1.1" 304 -
127.0.0.1 - - [20/May/2020:18:44:31 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 6
127.0.0.1 - - [20/May/2020:18:44:33 +0530] "GET /AwsCloudability/pages/index.jsp HTTP/1.1" 200 22132
127.0.0.1 - - [20/May/2020:18:44:34 +0530] "GET /AwsCloudability/theme/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
127.0.0.1 - - [20/May/2020:18:44:34 +0530] "GET /AwsCloudability/theme/fonts/dashboard.woff HTTP/1.1" 200 6088
127.0.0.1 - - [20/May/2020:18:44:36 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=generateGraph HTTP/1.1" 200 104
127.0.0.1 - - [20/May/2020:18:44:38 +0530] "GET /AwsCloudability/pages/amazon_ec2_instances_analysis.jsp HTTP/1.1" 200 19258
127.0.0.1 - - [20/May/2020:18:44:38 +0530] "GET /AwsCloudability/theme/js/Chart.js HTTP/1.1" 200 109611
127.0.0.1 - - [20/May/2020:18:44:38 +0530] "GET /AwsCloudability/theme/js/demo.js HTTP/1.1" 200 8553
127.0.0.1 - - [20/May/2020:18:44:45 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=generateGraph HTTP/1.1" 200 104
127.0.0.1 - - [20/May/2020:18:45:03 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=generateGraph HTTP/1.1" 200 104
127.0.0.1 - - [20/May/2020:18:45:26 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=generateGraph HTTP/1.1" 200 104
127.0.0.1 - - [20/May/2020:18:57:00 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=generateGraph HTTP/1.1" 200 104
127.0.0.1 - - [20/May/2020:18:57:01 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=generateGraph HTTP/1.1" 200 128
127.0.0.1 - - [20/May/2020:18:57:56 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=generateGraph HTTP/1.1" 200 104
127.0.0.1 - - [20/May/2020:19:33:21 +0530] "POST /AwsCloudability/tiles/ajax.jsp?methodId=generateGraph HTTP/1.1" 500 2376
127.0.0.1 - - [20/May/2020:19:33:23 +0530] "GET /AwsCloudability/pages/amazon_ec2_instances.jsp HTTP/1.1" 500 2424
127.0.0.1 - - [20/May/2020:19:33:24 +0530] "GET /AwsCloudability/theme/js/Chart.js HTTP/1.1" 200 109611
127.0.0.1 - - [20/May/2020:19:33:24 +0530] "GET /AwsCloudability/theme/js/demo.js HTTP/1.1" 200 -
